ID,LOC1,LOC2,LOC3,PREDICTED
SPTA1,nan,nan,nan,cytoskeleton
SPTAN1,cytoskeleton ,nan,nan,cytoskeleton / cytosol
SPTBN1 ,nan,nan,nan,NA
SPTBN2,nan,nan,nan,cytoskeleton / cytosol
SRI,cytosol,nan,nan,extracellular / nucleus / reticulum / cytosol
SRL,nan,nan,nan,extracellular
SRR,ca2+ regulated,nan,nan,cytosol
SRY,cytosol,nucleus,nan,NA
SS18L1,nan,nan,nan,nucleus
SSH1 ,nan,nan,nan,NA
SSTR2,nan,nan,nan,membrane
STAC ,cytosol,nan,nan,NA
STAC2,cytosol,nan,nan,membrane / cytosol
STAC3,cytosol,nan,nan,nucleus / cytosol
STC2,ER lumen,Golgi appratus,secreted protein,reticulum
STIM1 ,ER membrane,nan,nan,NA
STIM2 ,ER membrane,nan,nan,NA
STIMATE,ER membrane,ER-PM  junction,nan,endoplasmic
STING1,ER membrane,nan,nan,membrane / plasma / endosome
STOML2,nan,Mito Ca2+,nan,membrane / mitochondrion
STRIT1,ER membrane,nan,nan,NA
STRN,PM associated,cytosol,nan,cytosol
STRN3,PM associated,cytosol,nan,membrane / nucleus
STRN4 ,PM associated,cytosol,nan,NA
STX1A,nan,nan,nan,membrane / cytosol
STX1B,nan,nan,nan,cytosol
STXBP1,nan,nan,nan,membrane / nucleus / cytosol
STXBP5,nan,nan,nan,cytosol
SUMO2,nan,nan,nan,nucleus
SURF4,ER membrane,Golgi appratus membrane,ERGIC,membrane
SWAP70,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
SYK,nan,nan,nan,membrane / nucleus / cytosol
SYNJ1,nan,nan,nan,cytosol
SYNJ2 ,nan,nan,nan,NA
SYNRG,nan,nan,nan,membrane / cytoskeleton / endosome / lysosome
SYT1,secretory vesicles membrane,PM-bound,nan,membrane / cytosol
SYT10,secretory vesicles membrane,PM-bound,nan,membrane
SYT2,secretory vesicles membrane,PM-bound,nan,membrane / cytosol
SYT3,secretory vesicles membrane,PM-bound,nan,membrane / endosome / cytosol
SYT4,secretory vesicles membrane,PM-bound,nan,membrane / cytosol
SYT5,secretory vesicles membrane,PM-bound,nan,membrane / endosome
SYT6,secretory vesicles membrane,PM-bound,nan,cytosol
SYT7,secretory vesicles membrane,PM-bound,nan,extracellular
SYT9,secretory vesicles membrane,PM-bound,nan,membrane / cytosol
TACR1,nan,nan,nan,membrane
TACSTD2,nan,nan,nan,membrane
TAS2R10,nan,nan,nan,membrane
TAS2R16,nan,nan,nan,membrane
TAS2R3,nan,nan,nan,membrane
TAS2R4,nan,nan,nan,membrane
TAS2R40,nan,nan,nan,membrane
TAS2R43,nan,nan,nan,membrane
TAS2R46,nan,nan,nan,membrane
TAS2R7,nan,nan,nan,membrane
TAS2R9,nan,nan,nan,membrane
TBC1D10C,nucleus,nan,nan,membrane
TBC1D8B,nan,nan,nan,cytosol
TBC1D9,nan,nan,nan,cytosol
TBC1D9B,nan,nan,nan,cytosol
TBXA2R,nan,nan,nan,membrane
TCHH,cytosol,cytoskeleton,nan,cytoskeleton / cytosol
TCHHL1,cytosol,cytoskeleton,nan,nucleus / cytosol
TCP1,cytosol,nan,nan,cytoskeleton / cytosol
TEC ,nan,nan,nan,NA
TESC,Cytosol,PM-bound,nan,membrane / nucleus / cytosol
TESPA1,nan,nan,nan,reticulum
TFEB,nan,nan,nan,nucleus / cytosol / lysosome
TGM2,nan,nan,nan,membrane / extracellular / mitochondrion / nucleus / cytosol
TGM3,nan,nan,nan,membrane
THBS1,nan,nan,nan,membrane / extracellular
THBS4,nan,nan,nan,extracellular
TIAM1,nan,nan,nan,membrane / cytosol
TIAM2,nan,nan,nan,cytosol
TLCD1,nan,nan,nan,membrane
TLR9,nan,nan,nan,membrane / extracellular / plasma / endosome / lysosome
TMBIM1,nan,nan,nan,membrane / endosome / lysosome
TMBIM4 ,nan,nan,nan,NA
TMBIM6,ER,nan,nan,membrane
TMC1,ER,nan,nan,membrane
TMC2 ,ER,nan,nan,NA
TMC3,ER,nan,nan,membrane
TMC4,ER,nan,nan,membrane / extracellular
TMC5,ER,nan,nan,membrane / extracellular
TMC6 ,ER,nan,nan,NA
TMC8 ,ER,nan,nan,NA
TMCO1,ER,nan,nan,extracellular
TMEM100,nan,nan,nan,membrane / plasma
TMEM165,nan,nan,nan,endosome / lysosome
TMEM178A,ER membrane,nan,nan,membrane
TMEM203,ER membrane,nan,nan,endoplasmic
TMEM30A ,nan,nan,nan,NA
TMEM37 ,nan,nan,nan,NA
TMEM38A,SR,ER,nan,nucleus / reticulum
TMEM38B,SR,ER,nan,reticulum
TMEM63A,nan,nan,nan,membrane / lysosome
TMEM63A ,PM,nan,nan,NA
TMEM63B,nan,nan,nan,membrane
TMEM63B ,PM,nan,nan,NA
TMEM63C,PM,nan,nan,membrane
TMEM63C,nan,nan,nan,membrane
TMEM97 ,nan,nan,nan,NA
TNFRSF13B ,nan,nan,nan,NA
TNNC1,cytosol,cytoskeleton,nan,cytoskeleton / cytosol
TNNC2,cytosol,cytoskeleton,nan,cytoskeleton / cytosol
TNNI1,nan,nan,nan,cytosol
TNNI2,nan,nan,nan,cytoskeleton / nucleus
TNNI3,nan,nan,nan,cytoskeleton
TNNT3,nan,nan,nan,cytoskeleton
TOX3,calcium-dependent transactivator,nan,nan,nucleus
TPCN1,endosome,lysosomes,nan,endosome / lysosome
TPCN2,endosome,lysosomes,nan,endosome / lysosome
TPH2,nan,nan,nan,cytosol
TPT1,Ca2+ regulated,nan,nan,extracellular / cytoskeleton / nucleus / endosome / cytosol
TRDN,nan,nan,nan,membrane / plasma / cytosol
TREM2,nan,nan,nan,membrane / extracellular
TRHR,nan,nan,nan,membrane
TRPA1,PM,nan,nan,membrane
TRPC1,PM,nan,nan,membrane
TRPC3,PM,nan,nan,membrane
TRPC4,PM,nan,nan,membrane / cytoskeleton
TRPC5,PM,nan,nan,membrane
TRPC6,PM,nan,nan,membrane
TRPC7,PM,nan,nan,membrane
TRPM1,PM,lysosome membrane,nan,membrane
TRPM2,PM,lysosome membrane,nan,membrane / lysosome
TRPM3,PM,nan,nan,membrane
TRPM4,PM,nan,nan,membrane / nucleus / plasma
TRPM5,PM,nan,nan,membrane
TRPM6,PM,nan,nan,membrane
TRPM7,PM,nan,nan,membrane
TRPM8,PM,ER membrane,nan,membrane / plasma
TRPV1,PM,ER membrane,nan,membrane
TRPV2,PM,endosome/lysosome membrane,nan,membrane
TRPV3,PM,nan,nan,membrane
TRPV4,PM,nan,nan,membrane
TRPV5,PM,nan,nan,membrane
TRPV6,PM,nan,nan,membrane
TSPAN13,nan,nan,nan,membrane
TSPAN7,nan,nan,nan,membrane
TSPO,nan,nan,nan,extracellular / mitochondrion / cytosol
TSPO,Mitochondria outer membrane,nan,nan,extracellular / mitochondrion / cytosol
TTYH1,PM,ER membrane,nan,membrane
TTYH2,PM,ER membrane,nan,membrane
TTYH3,PM,ER membrane,nan,membrane
TUSC2,nan,nan,nan,mitochondrion
TXK ,nan,nan,nan,NA
UBQLN1,nan,nan,nan,membrane / nucleus / plasma / cytosol
UBR4 ,nan,nan,nan,NA
UMOD,interacts with TRPV5,nan,nan,membrane / extracellular / cytoskeleton
UNC13A ,PM associated,vesicle membrane,nan,NA
UNC13B ,PM associated,vesicle membrane,nan,NA
UNC13C,PM associated,vesicle membrane,nan,membrane
UNC13D,nan,nan,nan,endosome / cytosol / lysosome
UNC93B1,ER membrane,nan,nan,endoplasmic / endosome
USP32,Golgi apparatus,nan,nan,membrane / cytoskeleton / mitochondrion / endosome / lysosome
USP6 ,PM,endosome,nan,NA
UTRN,cytoskeleton ,cytosol,nan,membrane / cytoskeleton / nucleus
VAMP2 ,nan,nan,nan,NA
VAPA,ER membrane,Mitochondria-associated ER membranes,nan,membrane / plasma / cytosol
VAPB,ER membrane,Mitochondria-associated ER membranes,nan,membrane
VCAM1,nan,nan,nan,membrane / extracellular / cytoskeleton / plasma / endosome
VCP,nan,nan,nan,nucleus / reticulum / cytosol
VDAC1 ,Mitochondria outer membrane,Mitochondria-associated ER membranes,nan,NA
VDAC2,Mitochondria outer membrane,Mitochondria-associated ER membranes,nan,mitochondrion / nucleus
VDAC3,Mitochondria outer membrane,Mitochondria-associated ER membranes,nan,mitochondrion
VIL1,nan,nan,nan,membrane / cytoskeleton
VSNL1,cytosol,PM-bound,nan,cytosol
VSTM4 ,nan,nan,nan,NA
WDRR37,nan,nan,nan,NA
WFS1,nan,nan,nan,endoplasmic
WFS1,nan,nan,nan,endoplasmic
ZAP70,nan,nan,nan,membrane / cytosol
ZZEF1,nucleus,mitochondria,nan,membrane / cytosol
