ID,LOC1,LOC2,LOC3,PREDICTED
NLGN3,nan,nan,nan,membrane
NLGN4X,nan,nan,nan,membrane
NLGN4Y,nan,nan,nan,NA
NLRC5,nan,nan,nan,cytosol
NLRP3,nan,nan,nan,cytosol
NMUR1,nan,nan,nan,membrane
NMUR2,nan,nan,nan,membrane
NOL3 ,nan,nan,nan,NA
NOS1,nan,nan,nan,membrane / nucleus / cytosol
NOS1AP ,nan,nan,nan,NA
NOS2,nan,nan,nan,peroxisome / nucleus
NOS3 ,nan,nan,nan,NA
NOTCH1,nan,nan,nan,membrane / extracellular / nucleus / cytosol
NOTCH1,nan,nan,nan,membrane / extracellular / nucleus / cytosol
NOTCH2,nan,nan,nan,membrane / extracellular / nucleus
NOTCH3,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
NOTCH4,nan,nan,nan,membrane / extracellular / nucleus
NOX5,nan,nan,nan,endoplasmic
NPSR1,nan,nan,nan,membrane
NPTX1,nan,nan,nan,membrane
NPTX2,nan,nan,nan,extracellular
NPTXR,nan,nan,nan,membrane / extracellular / nucleus / plasma
NR4A1,nan,nan,nan,nucleus / cytosol
NRGN,nan,nan,nan,cytosol
NRXN1,nan,nan,nan,membrane
NRXN2,nan,nan,nan,membrane
NRXN3,nan,nan,nan,membrane
NT5E,purinergic signaling,nan,nan,membrane / extracellular / nucleus / cytosol
NTRK1,nan,nan,nan,membrane
NTRK2,nan,nan,nan,membrane
NTSR1 ,nan,nan,nan,NA
NTSR2,nan,nan,nan,membrane
NUCB1,Golgi apparatus,nan,nan,extracellular
NUCB2,Golgi apparatus,nan,nan,extracellular
OCM,nan,nan,nan,nucleus
OCM2,nan,nan,nan,cytosol
OGDH,nan,nan,nan,mitochondrion / nucleus
OGDHL,nan,nan,nan,nucleus / cytosol
OPN3,nan,nan,nan,membrane
OPRD1,nan,nan,nan,membrane
OPRK1,nan,nan,nan,membrane
OPRL1,nan,nan,nan,membrane
OPRM1,nan,nan,nan,membrane
ORAI1 ,PM,nan,nan,NA
ORAI2 ,PM,nan,nan,NA
ORAI3,PM,nan,nan,membrane
ORMDL3,ER membrane,nan,nan,membrane / plasma
OTOF,nan,nan,nan,cytosol
OTOL1,nan,nan,nan,extracellular
P2RX1,PM,nan,nan,membrane
P2RX2,PM,nan,nan,membrane
P2RX3,PM,nan,nan,membrane
P2RX4,PM,nan,nan,membrane / extracellular
P2RX5,PM,nan,nan,membrane / cytosol
P2RX7,PM,nan,nan,membrane
P2RY1,nan,nan,nan,membrane
P2RY10,nan,nan,nan,membrane
P2RY11,nan,nan,nan,membrane
P2RY12 ,nan,nan,nan,NA
P2RY2 ,nan,nan,nan,NA
P2RY4,nan,nan,nan,membrane
P2RY6,nan,nan,nan,membrane
P2RY8,nan,nan,nan,membrane
P4HTM,nan,nan,nan,membrane
PACS1,nan,nan,nan,cytosol
PACS2,nan,nan,nan,mitochondrion / reticulum
PACSIN3,nan,nan,nan,membrane / cytosol
PADI1,nan,nan,nan,nucleus / cytosol
PADI2,nan,nan,nan,cytosol
PADI3,nan,nan,nan,nucleus / cytosol
PADI4,nan,nan,nan,nucleus / cytosol
PADI6,nan,nan,nan,nucleus
PAK1,SOCE modulation,nan,nan,membrane / cytoskeleton / nucleus / cytosol
PANX1,PM,Gap junction,nan,membrane / plasma
PCLO,nan,C2 domain,nan,cytoskeleton
PCNT,nan,nan,nan,cytoskeleton / cytosol
PCP4,nan,nan,nan,cytosol
PCSK1,nan,nan,nan,extracellular
PCSK6,nan,nan,nan,reticulum
PCSK9,nan,nan,nan,membrane / extracellular / plasma / endosome / lysosome
PCYT1A,nan,nan,nan,nucleus / reticulum
PDCD6,nan,nan,nan,nucleus / reticulum / cytosol
PDE1A,nan,nan,nan,cytosol
PDE1B,nan,nan,nan,cytosol
PDE1C,nan,nan,nan,cytosol
PDGFB,nan,nan,nan,extracellular
PDGFRA,nan,nan,nan,membrane / nucleus
PDGFRB,nan,nan,nan,membrane / nucleus / lysosome
PDIA3,nan,nan,nan,reticulum
PDPK1,nan,nan,nan,membrane / nucleus / cytosol
PDXP,binds CB1,nan,nan,cytosol
PDZD8,mitochondria Ca2+ flux,nan,ER protein,endoplasmic
PDZK1,nan,nan,nan,membrane / extracellular
PEA15,nan,nan,nan,cytoskeleton / nucleus / cytosol
PEF1,nan,nan,nan,extracellular / reticulum
PHB2,nan,nan,nan,membrane / mitochondrion / nucleus
PHB2,nan,nan,nan,membrane / mitochondrion / nucleus
PHKA1,nan,nan,nan,cytosol
PHKA2,nan,nan,nan,membrane / cytosol
PHKB,nan,nan,nan,cytosol
PHKG1,nan,nan,nan,cytosol
PHKG2,nan,nan,nan,cytosol
PI4K2A,nan,nan,nan,membrane
PI4K2B,nan,nan,nan,cytosol
PI4KA,nan,nan,nan,membrane
PI4KB,nan,nan,nan,reticulum / endosome
PICK1,nan,nan,nan,membrane / cytosol
PIEZO1,PM,ER membrane,nan,membrane / plasma
PIEZO2,PM,ER membrane,nan,membrane
PIK3C2A,nan,nan,nan,membrane / nucleus / cytosol
PIK3C2B,nan,nan,nan,membrane / nucleus / cytosol
PIK3C2G,nan,nan,nan,cytosol
PIK3C3,nan,nan,nan,cytoskeleton / endosome / cytosol / lysosome
PIK3CA,nan,nan,nan,cytosol
PIK3CB,nan,nan,nan,cytosol
PIK3CD,nan,nan,nan,cytosol
PIK3CG,nan,nan,nan,membrane / cytosol
PIK3R1,nan,nan,nan,membrane / cytosol
PIK3R2,nan,nan,nan,nucleus / cytosol
PIK3R3,nan,nan,nan,cytosol
PIK3R4,nan,nan,nan,cytoskeleton / endosome / cytosol
PIK3R5,nan,nan,nan,cytosol
PIK3R6,nan,nan,nan,membrane / cytosol
PINK1,nan,nan,nan,mitochondrion / reticulum / cytosol
PIP4K2A,nan,nan,nan,membrane / cytosol
PIP4K2B,nan,nan,nan,membrane / nucleus
PIP4K2C,nan,nan,nan,membrane / extracellular / nucleus / cytosol
PIP4P1 ,nan,nan,nan,NA
PIP4P2,nan,nan,nan,membrane / endosome / lysosome
PIP5K1A,nan,nan,nan,membrane / nucleus / cytosol
PIP5K1B,nan,nan,nan,cytosol
PIP5K1C,nan,nan,nan,nucleus / endosome / cytosol
PIP5KL1,nan,nan,nan,nucleus
PITPNA,nan,nan,nan,cytosol
PITPNB,nan,nan,nan,membrane
PITPNC1,nan,nan,nan,nucleus / cytosol
PITPNM1,nan,nan,nan,cytosol
PITPNM2,nan,nan,nan,cytosol
PITPNM3 ,nan,nan,nan,NA
PKD1,ER membrane,nan,nan,membrane / extracellular
PKD1L1,PM,priimary CIlia,nan,membrane
PKD1L2,PM,nan,nan,membrane / extracellular / cytoskeleton / nucleus / cytosol
PKD1L3,PM,nan,nan,membrane
PKD2,PM,nan,nan,membrane / cytoskeleton / plasma
PKD2L1,PM,priimary CIlia,nan,membrane
PKD2L2,PM,nan,nan,membrane
PLA2G10,nan,nan,nan,extracellular
PLA2G12A,nan,nan,nan,extracellular
PLA2G2A,nan,nan,nan,extracellular
PLA2G2C,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
PLA2G2E,nan,nan,nan,extracellular
PLA2G4A,cytosol,nan,nan,cytosol
PLA2G4B,cytosol,nan,nan,extracellular / mitochondrion / endosome / cytosol
PLA2G5,nan,nan,nan,extracellular
PLCB1,cytosol,PM associated,nan,nucleus / cytosol
PLCB2,cytosol,PM associated,nan,cytosol
PLCB3,cytosol,PM associated,nan,cytosol
PLCB4,cytosol,PM associated,nan,nucleus / reticulum
PLCD1,cytosol,PM associated,nan,membrane / extracellular
PLCD3,cytosol,PM associated,nan,membrane
PLCD4,cytosol,PM associated,nan,cytosol
PLCE1,cytosol,PM associated,nan,membrane / cytosol
PLCG1,cytosol,PM associated,nan,membrane / nucleus / cytosol
PLCG2,cytosol,PM associated,nan,membrane / cytosol
PLCH1,cytosol,PM associated,nan,membrane
PLCH2,cytosol,PM associated,nan,membrane
PLCL1,nan,nan,nan,membrane / cytosol
PLCL2,nan,nan,nan,membrane / extracellular / cytoskeleton / nucleus
PLCZ1,nan,nan,nan,nucleus / cytosol
PLN,ER membrane,nan,nan,reticulum
PLS1,cytosol,microfilament,nan,extracellular / cytoskeleton
PLS3,Cytosol,microfilament,nan,cytosol
PLSCR1,nan,nan,nan,membrane / nucleus / cytosol
PLSCR2,nan,nan,nan,reticulum
PLSCR2,nan,nan,nan,reticulum
PLSCR3,nan,nan,nan,membrane / mitochondrion / cytosol
PLSCR4,nan,nan,nan,membrane
PLSCR5,nan,nan,nan,membrane
PML,nan,nan,modulation of IP3R phosphorylation and in turn for IP3R-mediated Ca2+ release from ER.,nucleus / endosome
PNCK,nan,nan,nan,nucleus / cytosol
PON1,nan,nan,nan,extracellular
PON2,nan,nan,nan,extracellular
PON3,nan,nan,nan,extracellular
PPEF1,cytosol,nan,nan,nucleus / cytosol
PPEF2,cytosol,nan,nan,nucleus / cytosol
PPIA,nan,nan,nan,extracellular / nucleus / cytosol
PPIF,Mito calcium,nan,nan,mitochondrion
PPM1E,cytosol,nucleoplasm,nan,mitochondrion
PPM1F ,cytosol,nucleoplasm,nan,NA
PPP2R3A,cytosol,nan,nan,nucleus / cytosol
PPP2R3B,cytosol,nan,nan,cytosol
PPP2R3C,cytosol,nan,nan,cytoskeleton / nucleus
PPP3CA,cytosol,nan,nan,membrane / nucleus / cytosol
PPP3CB,cytosol,nan,nan,nucleus / cytosol
PPP3CC,cytosol,nan,nan,cytosol
PPP3R1,cytosol,nan,nan,membrane / nucleus / cytosol
PPP3R2,cytosol,nan,nan,nucleus / cytosol
PRF1,PM,nan,nan,extracellular / cytosol / lysosome
PRF1,nan,nan,nan,extracellular / cytosol / lysosome
PRKAA1,cytosol,nucleoplasm,nan,nucleus / cytosol
PRKAA2,cytosol,nucleoplasm,nan,nucleus / cytosol
PRKCA,nan,nan,nan,membrane / mitochondrion / nucleus / cytosol
PRKCB,nan,nan,nan,membrane / nucleus / cytosol
PRKCG,nan,nan,nan,cytosol
PRKCSH,nan,nan,nan,endoplasmic
PRKN,nan,nan,nan,nucleus / cytosol
PRNP,nan,nan,nan,membrane / extracellular / mitochondrion / nucleus / cytosol
PROKR1,nan,nan,nan,membrane
PROKR2,nan,nan,nan,membrane
PRSS1,nan,nan,nan,extracellular
PSEN1,nan,nan,nan,membrane / cytoskeleton / mitochondrion / nucleus / plasma
PSEN2,nan,nan,nan,membrane / cytoskeleton / nucleus
PTAFR,nan,nan,nan,membrane
PTEN ,nan,nan,nan,NA
PTGDR2,nan,nan,nan,membrane
PTGER3,nan,nan,nan,membrane
PTGIR,nan,nan,nan,membrane
PTH1R,nan,nan,nan,membrane
PTK2B,nan,nan,nan,membrane / nucleus / cytosol
PTK2B ,nan,nan,nan,NA
PTPA,nan,nan,nan,nucleus
PTPN11,nan,nan,nan,nucleus / cytosol
PTPN6,nan,nan,nan,nucleus / cytosol
PTPRQ,nan,nan,nan,membrane
PVALB,cytosol,nan,nan,cytoskeleton / nucleus
PVALEF,nan,nan,nan,NA
PVALEF,nan,nan,nan,NA
RAB11B,nan,nan,nan,cytosol
RAB11FIP3,endosome,nan,nan,membrane / cytoskeleton / nucleus / endosome
RAB11FIP4,endosome,nan,nan,membrane / endosome
RAB3A,nan,nan,nan,cytosol
RAC1,nan,nan,nan,membrane / endosome / cytosol
RAF1 ,PM associated,nan,nan,NA
RAPGEF4,nan,nan,nan,membrane
RASA3,nan,nan,nan,membrane / cytosol
RASA4,nan,nan,nan,membrane
RASAL1,nan,nan,nan,cytosol
RASEF,Golgi apparatus,ER ,cytosol,cytosol
RASGRF1,nan,nan,nan,membrane / nucleus / cytosol
RASGRF2,nan,nan,nan,membrane / plasma / cytosol
RASGRP1,PM associated,ER membrane,nan,membrane / plasma / cytosol
RASGRP2,PM associated,ER membrane,nan,membrane / cytosol
